,installation_id,airly_sensor,sponsor,elevation,geolocation_latitude,geolocation_longitude,address_country,address_city,address_street,address_number
0,9088,True,Intelisense Multisolutions,509.69,9.030633,7.502158,Nigeria,,,
1,7649,True,aplicazion.es,589.77,40.385406,-3.698069,Spain,Madrid,Calle de Sebastián Gómez,5
2,7648,True,aplicazion.es,587.82,40.385926,-3.697885,Spain,Madrid,Calle de Sebastián Gómez,5
3,9075,True,ubiwhere,42.9,40.19201,-8.414504,Portugal,Coimbra,Rua Pedro Hispano,12
4,7663,True,iSensoring,9.02,41.398124,2.202391,Spain,Barcelona,Carrer de la Llacuna,11
5,9035,True,HERON,170.95,37.997338,23.769205,Greece,Athina,Leoforos Kifisias,140
6,8000,True,KROMBERG & SCHUBERT MAKEDONIJA DOOEL Bitola,646.34,41.029527,21.315387,Macedonia (FYROM),Bitola,13th of July,44
7,7974,True,ПЛАТФОРМА ЗЕМИ ЗДИВ,624.73,41.023949,21.327849,Macedonia (FYROM),Bitola,Niko Fundali,27
8,7976,True,ПЛАТФОРМА ЗЕМИ ЗДИВ,621.71,41.030109,21.330305,Macedonia (FYROM),Manastiri,Tsar Samoil,78
9,7975,True,ПЛАТФОРМА ЗЕМИ ЗДИВ,615.37,41.028503,21.335998,Macedonia (FYROM),Bitola,Shirok Sokak,67
10,10158,False,European Environment Agency,616.88,41.030279,21.33667,North Macedonia,Bitola,Dobrivoe Radosavljevikj,21
11,7998,True,KROMBERG & SCHUBERT MAKEDONIJA DOOEL Bitola,667.08,41.03674,21.324666,Macedonia (FYROM),Bitola,Atanas Trpchevski - Tase,22
12,7948,True,GIPS PROM DOOEL BITOLA,605.94,41.031459,21.343802,Macedonia (FYROM),Bitola,Cvetan Dimov,51
13,8002,True,KROMBERG & SCHUBERT MAKEDONIJA DOOEL Bitola,626.12,41.037774,21.339239,Macedonia (FYROM),Bitola,7th of July,2
14,8906,True,СН ОСИГУРИТЕЛЕН БРОКЕР АД БИТОЛА,589.47,41.040107,21.351151,North Macedonia,Bitola,Prilepska,65
15,10154,False,European Environment Agency,586.67,41.039999,21.3564,North Macedonia,Bitola,Industriska BB,b.b.
16,10156,False,European Environment Agency,1284.33,41.535829,20.6989,North Macedonia,Llazaropole,Unnamed Road,
17,10166,False,European Environment Agency,618.25,41.514449,20.95862,North Macedonia,Kichevo,Janko Mihajloski,
18,5720,True,"Environmental Informatics Research Group, Dept. of Mechanical Engineering, Aristotle University of Thessaloniki",33.46,40.626802,22.961171,Greece,Thessaloniki,3is Septemvriou,
19,8137,True,Nikusevski Toni - Toneli,530.71,41.792062,20.907962,North Macedonia,Gostivar,Major Cede Filiposki,66
20,10159,False,European Environment Agency,272.11,41.440559,22.007229,North Macedonia,Kavadartsi,Boulevard Cvetan Dimov,1
21,10167,False,European Environment Agency,463.22,41.997589,20.965179,North Macedonia,Tetovo,Boulevard Vidoe Smilevski Bato,1200
22,7864,True,Nikusevski Toni - Toneli,469.46,42.004015,20.965344,Macedonia (FYROM),Tetovë,Ilindenit,141
23,10164,False,European Environment Agency,312.6,41.705829,21.76529,North Macedonia,Veles,Роса Плавева,7
24,7692,True,Nikusevski Toni - Toneli,254.15,42.000362,21.38956,Macedonia (FYROM),Skopje,Московска,9
25,10160,False,European Environment Agency,255.6,42.005999,21.387,North Macedonia,Skopje,Volgogradska,8
26,10157,False,European Environment Agency,248.67,41.991999,21.422999,North Macedonia,Skopje,Mother Teresa,2
27,10168,False,European Environment Agency,234.82,41.978329,21.47,North Macedonia,Skopje,Crnorizec Hrabar,24a
28,10155,False,European Environment Agency,249.21,41.999169,21.44084,North Macedonia,Skopje,,
29,10161,False,European Environment Agency,251.28,42.003609,21.46362,North Macedonia,Skopje,Lazar Pop Trajkov,22
30,7424,True,Nikusevski Toni - Toneli,303.44,42.015171,21.453322,Macedonia (FYROM),Skopje,Zenichka,29
31,10162,False,European Environment Agency,268.39,41.987439,21.6525,North Macedonia,,A2,
32,7549,True,Internavigare Srl,321.16,45.750636,9.009174,Italy,Bulgarograsso,,
33,10165,False,European Environment Agency,335.89,42.135559,21.714739,North Macedonia,Kumanovo,Karl Marks,11
34,10254,False,European Environment Agency,425.32,46.162599,6.00518,Switzerland,Avully,Chemin des Meurons,
35,9067,True,Internavigare Srl,301.38,45.777068,9.076356,Italy,Como,Via Acquanera,73
36,10255,False,European Environment Agency,424.9,46.195599,6.21125,Switzerland,Thônex,Chemin du Foron,24
37,10270,False,European Environment Agency,388.98,46.207799,6.14113,Switzerland,Genève,Rue Argand,3
38,10163,False,European Environment Agency,357.76,41.913889,22.415849,North Macedonia,Kochani,Plachkovica,7
39,10262,False,European Environment Agency,436.2,46.231099,6.07417,Switzerland,Meyrin,Avenue de Vaudagne,15
40,10269,False,European Environment Agency,459.15,46.138999,7.14833,Switzerland,Saxon,Route des Pras-Longs,92
41,10246,False,European Environment Agency,284.39,46.011099,8.95717,Switzerland,Lugano,,
42,10273,False,European Environment Agency,302.21,46.025899,8.96752,Switzerland,Lugano,Via Giovanni Maraini,11
43,10277,False,European Environment Agency,200.48,46.160399,8.93394,Switzerland,Cadenazzo,Ala Mota di Zopp,2
44,10260,False,European Environment Agency,537.15,46.521999,6.6397,Switzerland,Lausanne,Rue Docteur César-Roux,34
45,10268,False,European Environment Agency,599.48,46.535799,6.6223,Switzerland,Lausanne,Chemin des Bossons,2
46,10265,False,European Environment Agency,486.57,46.813099,6.94448,Switzerland,Payerne,Chemin de l'Aérologie,1
47,10257,False,European Environment Agency,544.35,46.950999,7.44087,Switzerland,Bern,Bollwerk,27
48,10275,False,European Environment Agency,554.65,46.963099,7.46252,Switzerland,Bern,Morgartenstrasse,2P
49,10252,False,European Environment Agency,545.02,46.976399,7.47872,Switzerland,Ittigen,Rain,7
50,10256,False,European Environment Agency,1135.36,47.049499,6.97921,Switzerland,Savagnier,Route de Chaumont,118
51,10258,False,European Environment Agency,444.85,47.045799,8.30439,Switzerland,Luzern,Moosstrasse,2
52,10249,False,European Environment Agency,474.45,47.067699,8.300678,Switzerland,Ebikon,Rathausenstrasse,30
53,10250,False,European Environment Agency,1015.52,47.067399,8.46333,Switzerland,Küssnacht,Seebodenalp,16
54,10271,False,European Environment Agency,792.57,47.189599,8.17544,Switzerland,Gunzwil,Blosenberg,
55,10248,False,European Environment Agency,416.39,47.370899,8.52354,Switzerland,Zürich,Seebahnstrasse,33
56,10251,False,European Environment Agency,411.46,47.377599,8.53041,Switzerland,Zürich,Kanonengasse,20
57,10261,False,European Environment Agency,613.26,47.381499,8.56592,Switzerland,Zürich,Heubeeriweg,30
58,10263,False,European Environment Agency,445.32,47.386799,8.539809,Switzerland,Zürich,Stampfenbachstrasse,144
59,10272,False,European Environment Agency,439.34,47.395199,8.526079,Switzerland,Zürich,1,22
60,10247,False,European Environment Agency,432.88,47.402899,8.613399,Switzerland,Dübendorf,Überland Strasse,129
61,10267,False,European Environment Agency,313.88,47.541099,7.58328,Switzerland,Binningen,Venusstrasse,7
62,10276,False,European Environment Agency,257.24,47.565899,7.58208,Switzerland,Basel,Rheinschanze,2
63,10264,False,European Environment Agency,433.49,47.438699,8.570119,Switzerland,Kloten,Balz-Zimmermannstrasse,7
64,10253,False,European Environment Agency,258.8,47.566999,7.594709,Switzerland,Basel,Feldbergstrasse,99
65,9449,False,Umweltbundesamnt,276.32,47.588152,7.633271,Germany,Weil am Rhein,Schutzackerstraße,41
66,10259,False,European Environment Agency,913.41,47.406699,9.39438,Switzerland,St. Gallen,Stueleggweg,30
